,(sec),(meters)
0,1.0,0.13716
1,2.0,0.225552
2,3.0,0.277368
3,4.0,0.316992
4,6.0,0.368808
5,8.0,0.402336
6,10.0,0.44196
7,30.0,0.615696
8,40.0,0.661416
9,50.0,0.70104
10,60.0,0.713232
11,80.0,0.762
12,100.0,0.813816
13,200.0,0.902208
14,400.0,0.9906
15,600.0,1.039368
16,800.0,1.0668
17,1000.0,1.09728
18,1440.0,1.161288
